PC1,PC2,sample_id,file_uuid,File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
115.33116013758682,214.42019524568633,6d9a6fb6-92be-4e51-a183-dbcc343fbcdd.rna_seq.augmented_star_gene_counts.tsv,6d9a6fb6-92be-4e51-a183-dbcc343fbcdd,181acc67-ca2e-44d8-9968-b04497b81a88,6d9a6fb6-92be-4e51-a183-dbcc343fbcdd.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-1223-C15,HCM-EXPT-1223-C15-01A,Tumor,Primary,Solid Tissue,Frozen
-113.8861304208634,42.28293600002698,2be4a1d7-20fd-4399-8fe6-e611fbc33e69.rna_seq.augmented_star_gene_counts.tsv,2be4a1d7-20fd-4399-8fe6-e611fbc33e69,08970419-b034-496e-91fe-20292d52c024,2be4a1d7-20fd-4399-8fe6-e611fbc33e69.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-WCMC-0785-C67,HCM-WCMC-0785-C67-85A,Tumor,Primary,3D Organoid,Cryopreserved
-47.35168223956719,28.550303993431648,0d64986b-37a6-4f25-97c9-4fc5346cd057.rna_seq.augmented_star_gene_counts.tsv,0d64986b-37a6-4f25-97c9-4fc5346cd057,93723d4a-8580-470d-b30f-52ec6c3c520c,0d64986b-37a6-4f25-97c9-4fc5346cd057.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-CSHL-0853-C56,HCM-CSHL-0853-C56-07B,Tumor,Metastatic,Solid Tissue,Frozen
-7.580993467973135,-26.629766623015517,573ed713-ce22-445e-a77a-ba0a2a79644f.rna_seq.augmented_star_gene_counts.tsv,573ed713-ce22-445e-a77a-ba0a2a79644f,75e1d760-45a0-4ccb-8bf3-941f8ea1862c,573ed713-ce22-445e-a77a-ba0a2a79644f.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-03619,C3N-03619-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
67.68199560955264,-69.36349607822999,bd6344b2-bc0c-4787-a1ad-145522dc8df9.rna_seq.augmented_star_gene_counts.tsv,bd6344b2-bc0c-4787-a1ad-145522dc8df9,518dabee-5f9f-4e28-b734-562c41f9615e,bd6344b2-bc0c-4787-a1ad-145522dc8df9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-02219,C3L-02219-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
50.9335593753723,-3.018830289933697,97fd1e0f-b859-495a-b598-8ca8c737788b.rna_seq.augmented_star_gene_counts.tsv,97fd1e0f-b859-495a-b598-8ca8c737788b,b034803a-63cf-4b0d-bb1d-15ea78b8124b,97fd1e0f-b859-495a-b598-8ca8c737788b.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-01385,C3N-01385-05,Normal,Not Applicable,Solid Tissue,Snap Frozen
66.58891493145362,-75.07332537414197,5fc33ea3-5008-4b88-b672-8358213db14c.rna_seq.augmented_star_gene_counts.tsv,5fc33ea3-5008-4b88-b672-8358213db14c,3a02e0fa-959e-45a0-b2f9-16892fe4cadd,5fc33ea3-5008-4b88-b672-8358213db14c.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-04757,C3L-04757-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
-107.53792937014977,4.996376947999905,68893143-096d-4ef8-8d69-58cbad1de75d.rna_seq.augmented_star_gene_counts.tsv,68893143-096d-4ef8-8d69-58cbad1de75d,ad2df2d3-33b3-4003-a9a9-8c68bb80502e,68893143-096d-4ef8-8d69-58cbad1de75d.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-0936-C50,HCM-EXPT-0936-C50-01A,Tumor,Primary,Solid Tissue,Frozen
122.00315962901713,-52.908068388286296,e2a03b03-5cea-4566-9052-65189892c042.rna_seq.augmented_star_gene_counts.tsv,e2a03b03-5cea-4566-9052-65189892c042,e2a4cf03-0b12-477c-b292-c238627c3071,e2a03b03-5cea-4566-9052-65189892c042.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-00552,C3N-00552-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
48.32788570957007,-14.240363538550888,00c86d63-088e-4f59-af89-61f37536bb9a.rna_seq.augmented_star_gene_counts.tsv,00c86d63-088e-4f59-af89-61f37536bb9a,b97beaee-a407-4526-b9a5-8a1b3cb337fd,00c86d63-088e-4f59-af89-61f37536bb9a.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,"C3N-02066, C3N-02066","C3N-02066-02, C3N-02066-01","Tumor, Tumor","Primary, Primary","Solid Tissue, Solid Tissue","Snap Frozen, Snap Frozen"
